"","species","Longitude","Latitude","occ","coords.x1","coords.x2"
"102","Lutjanus Griseus",-81.870629,26.274587,1,-81.870629,26.274587
"103","Lutjanus Griseus",-81.049524,29.290013,1,-81.049524,29.290013
"104","Lutjanus Griseus",-86.795525,15.789755,1,-86.795525,15.789755
"105","Lutjanus Griseus",-81.935729,26.427865,1,-81.935729,26.427865
"106","Lutjanus Griseus",-75.169828,19.897498,1,-75.169828,19.897498
"107","Lutjanus Griseus",-81.347237,24.773212,1,-81.347237,24.773212
"108","Lutjanus Griseus",-86.087025,30.309968,1,-86.087025,30.309968
"109","Lutjanus Griseus",-86.708688,21.120924,1,-86.708688,21.120924
"110","Lutjanus Griseus",-88.119172,16.887046,1,-88.119172,16.887046
"111","Lutjanus Griseus",-61.18245,14.873036,1,-61.18245,14.873036
"112","Lutjanus Griseus",-64.524023,18.433286,1,-64.524023,18.433286
"113","Lutjanus Griseus",-80.864836,28.95101,1,-80.864836,28.95101
"114","Lutjanus Griseus",-75.99077,23.682133,1,-75.99077,23.682133
"115","Lutjanus Griseus",-81.315536,19.376999,1,-81.315536,19.376999
"116","Lutjanus Griseus",-81.360325,19.279042,1,-81.360325,19.279042
"117","Lutjanus Griseus",-82.666633,27.520829,1,-82.666633,27.520829
"118","Lutjanus Griseus",-97.33819,21.012767,1,-97.33819,21.012767
"119","Lutjanus Griseus",-72.193465,21.621716,1,-72.193465,21.621716
"120","Lutjanus Griseus",-61.390125,16.225258,1,-61.390125,16.225258
"121","Lutjanus Griseus",-79.304645,25.722311,1,-79.304645,25.722311
"122","Lutjanus Griseus",-61.049492,14.594535,1,-61.049492,14.594535
"123","Lutjanus Griseus",-61.887513,17.128488,1,-61.887513,17.128488
"124","Lutjanus Griseus",-61.5725,16.36333,1,-61.5725,16.36333
"125","Lutjanus Griseus",-61.78796,16.19498,1,-61.78796,16.19498
"126","Lutjanus Griseus",-61.13405,14.63279,1,-61.13405,14.63279
"127","Lutjanus Griseus",-61.78019,16.1397,1,-61.78019,16.1397
"128","Lutjanus Griseus",-61.0962,14.60474,1,-61.0962,14.60474
"129","Lutjanus Griseus",-87.20111,20.605,1,-87.20111,20.605
"130","Lutjanus Griseus",-61.72955,15.98799,1,-61.72955,15.98799
"131","Lutjanus Griseus",-61.22053,14.78867,1,-61.22053,14.78867
"132","Lutjanus Griseus",-61.22786,14.84149,1,-61.22786,14.84149
"133","Lutjanus Griseus",-61.53345,16.45883,1,-61.53345,16.45883
"134","Lutjanus Griseus",-61.07776,14.45799,1,-61.07776,14.45799
"135","Lutjanus Griseus",-61.45529,15.44169,1,-61.45529,15.44169
"136","Lutjanus Griseus",-81.302313,29.888625,1,-81.302313,29.888625
"137","Lutjanus Griseus",-78.642051,26.513712,1,-78.642051,26.513712
"138","Lutjanus Griseus",-61.179658,14.747769,1,-61.179658,14.747769
